target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,ii_timesteps,ii_threshold,unfinished
4,2,,,100,101,72,48.60170245170593,0,,False
11,3,,,100,101,68,49.91431522369385,0,,False
7,3,,,100,101,75,47.77241492271423,0,,False
3,3,,,100,101,88,49.22659158706665,0,,False
1,2,,,100,101,81,50.367276430130005,0,,False
0,2,,,100,101,65,46.84187030792236,0,,False
10,3,,,100,101,72,49.898374795913696,0,,False
0,1,,,100,101,76,46.395365715026855,0,,False
8,4,,,100,101,87,49.525278091430664,0,,False
11,2,,,100,101,56,47.73532438278198,0,,False
3,4,,,100,101,91,48.07701921463013,0,,False
4,0,,,100,101,77,50.673413038253784,0,,False
5,3,,,100,101,80,48.7442102432251,0,,False
6,0,,,100,101,62,48.8100049495697,0,,False
2,0,,,100,101,89,48.27809286117554,0,,False
2,2,,,100,101,89,47.97304129600525,0,,False
1,0,,,100,101,75,49.9124174118042,0,,False
0,4,,,100,101,74,48.22804498672485,0,,False
6,2,,,100,101,65,49.680572271347046,0,,False
5,2,,,100,101,73,49.32052993774414,0,,False
10,2,,,100,101,76,48.433531045913696,0,,False
7,4,,,100,101,66,50.11020803451538,0,,False
10,0,,,100,101,70,49.04126715660095,0,,False
1,3,,,100,101,81,49.03109049797058,0,,False
6,4,,,100,101,64,49.18489122390747,0,,False
8,0,,,100,101,84,49.89811182022095,0,,False
7,1,,,100,101,72,48.33956480026245,0,,False
8,2,,,100,101,78,49.41184425354004,0,,False
4,3,,,100,101,82,48.95096755027771,0,,False
3,0,,,100,101,88,50.825661420822144,0,,False
7,2,,,100,101,72,49.54592251777649,0,,False
1,1,,,100,101,77,49.851914167404175,0,,False
11,4,,,100,101,62,49.74693703651428,0,,False
10,4,,,100,101,77,49.43150210380554,0,,False
7,0,,,100,101,73,48.868159770965576,0,,False
9,0,,,100,101,81,49.09684467315674,0,,False
5,0,,,100,101,76,49.53735947608948,0,,False
6,1,,,100,101,65,48.48840355873108,0,,False
5,4,,,100,101,74,48.67090702056885,0,,False
9,1,,,100,101,70,49.77356243133545,0,,False
8,3,,,100,101,89,48.716827392578125,0,,False
3,2,,,100,101,89,48.40561318397522,0,,False
0,3,,,100,101,71,46.414875507354736,0,,False
3,1,,,100,101,91,50.35966491699219,0,,False
4,4,,,100,101,82,47.82258915901184,0,,False
2,3,,,100,101,88,49.32664895057678,0,,False
9,2,,,100,101,82,48.5347318649292,0,,False
2,4,,,100,101,87,49.16052317619324,0,,False
11,0,,,100,101,65,48.12828731536865,0,,False
8,1,,,100,101,75,48.57744860649109,0,,False
5,1,,,100,101,72,48.95149254798889,0,,False
1,4,,,100,101,81,48.17045068740845,0,,False
10,1,,,100,101,75,49.68633699417114,0,,False
9,3,,,100,101,86,48.65154218673706,0,,False
9,4,,,100,101,77,49.03109383583069,0,,False
6,3,,,100,101,75,47.96376299858093,0,,False
0,0,,,100,101,73,46.17409372329712,0,,False
4,1,,,100,101,82,49.400588274002075,0,,False
2,1,,,100,101,87,49.05471706390381,0,,False
11,1,,,100,101,73,49.453192710876465,0,,False
