target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,ii_timesteps,ii_threshold,unfinished
7,0,1.0,,76,101,67,49.193013429641724,96,1000.0,False
7,0,,,100,101,78,50.258782386779785,96,100.0,False
11,0,,,100,101,68,49.66163468360901,96,100.0,False
9,0,1.0,,56,101,84,40.90557312965393,40,10000000.0,False
8,0,,,100,101,84,51.19999623298645,96,10.0,False
10,0,,,100,101,78,52.81255483627319,38,100000000.0,False
10,0,,,100,101,82,50.79285550117493,66,1000000.0,False
1,0,,,100,101,86,49.74378299713135,19,1000000000.0,False
4,0,,,100,101,85,49.111485958099365,23,100000000.0,False
5,0,,,100,101,83,48.66074085235596,30,10000000.0,False
3,0,1.0,,38,101,91,35.0160596370697,47,10000000.0,False
7,0,1.0,,67,101,84,46.160181283950806,71,100000000.0,False
6,0,1.0,,69,101,67,48.33058023452759,96,1000.0,False
4,0,,,100,101,79,49.610655784606934,94,1000.0,False
8,0,,,100,101,91,49.244434118270874,19,1000000000.0,False
1,0,1.0,,47,101,82,38.77035689353943,22,100000000.0,False
9,0,,,100,101,81,52.46440315246582,96,1000.0,False
0,0,1.0,,53,101,76,39.92245650291443,48,100000.0,False
4,0,,,100,101,73,50.88399577140808,95,100000.0,False
1,0,,,100,101,82,49.95414876937866,31,1000000.0,False
2,0,,,100,101,90,50.612006187438965,96,1000.0,False
0,0,1.0,,53,101,76,41.70630478858948,48,10000.0,False
7,0,,,100,101,78,48.978957414627075,96,10.0,False
5,0,,,100,101,77,51.4960572719574,96,100.0,False
11,0,,,100,101,68,52.16110301017761,96,10000.0,False
8,0,1.0,,71,101,73,49.023529052734375,96,100000.0,False
1,0,1.0,,51,101,83,39.43462157249451,96,100.0,False
10,0,1.0,,72,101,62,48.46736216545105,96,10000.0,False
2,0,,,100,101,90,49.07627511024475,15,1000000000.0,False
9,0,,,100,101,78,51.97493577003479,76,100000000.0,False
5,0,,,100,101,83,50.797435998916626,37,1000000000.0,False
6,0,,,100,101,68,50.91385245323181,58,1000000000.0,False
10,0,1.0,,72,101,62,49.52787947654724,96,1000.0,False
9,0,,,100,101,81,50.706403970718384,96,10.0,False
6,0,1.0,,69,101,67,47.260908365249634,96,100000.0,False
3,0,,,100,101,89,50.75431823730469,96,10.0,False
