target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,ii_timesteps,ii_threshold,unfinished
11,2,1.0,30.0,87,101,66,49.307031869888306,89,1000000.0,False
8,4,1.0,30.0,95,101,71,52.68748664855957,95,1000000.0,False
10,0,,,100,101,78,52.451192140579224,69,1000000.0,False
1,4,,,100,101,86,49.96978235244751,57,1000000.0,False
4,4,1.0,30.0,67,101,85,44.058109760284424,53,1000000.0,False
1,0,,,100,101,85,48.0994656085968,35,1000000.0,False
8,2,,,100,101,75,52.246127128601074,95,1000000.0,False
4,2,,,100,101,85,51.46791625022888,45,1000000.0,False
7,1,,,100,101,63,52.91009259223938,94,1000000.0,False
11,2,,,100,101,66,51.90454959869385,96,1000000.0,False
1,0,1.0,30.0,75,101,85,42.80368494987488,69,1000000.0,False
3,2,,,100,101,88,50.53558373451233,55,1000000.0,False
5,2,,,100,101,81,51.301451683044434,39,1000000.0,False
10,3,,,100,101,71,52.69715857505798,83,1000000.0,False
4,3,1.0,30.0,76,101,76,44.405367374420166,62,1000000.0,False
0,0,1.0,30.0,65,101,75,45.376145124435425,55,1000000.0,False
7,0,1.0,30.0,90,101,75,52.04246139526367,95,1000000.0,False
1,2,,,100,101,83,47.69866061210632,34,1000000.0,False
0,0,,,100,101,80,64.56414127349854,40,1000000.0,False
6,0,,,100,101,71,51.311452865600586,82,1000000.0,False
9,1,,,100,101,76,51.84178900718689,82,1000000.0,False
7,3,,,100,101,81,52.3787727355957,80,1000000.0,False
4,1,1.0,30.0,78,101,85,45.85676980018616,35,1000000.0,False
0,4,,,100,101,75,48.15444850921631,35,1000000.0,False
11,4,,,100,101,73,52.72019863128662,82,1000000.0,False
9,1,1.0,30.0,74,101,85,45.48333549499512,50,1000000.0,False
5,3,,,100,101,77,51.48053860664368,52,1000000.0,False
10,4,1.0,30.0,93,101,67,52.60858416557312,85,1000000.0,False
10,4,,,100,101,72,52.484081506729126,74,1000000.0,False
8,1,,,100,101,86,53.017794609069824,81,1000000.0,False
1,2,1.0,30.0,74,101,81,47.97064518928528,58,1000000.0,False
3,1,1.0,30.0,56,101,87,39.60357093811035,43,1000000.0,False
2,2,,,100,101,89,48.49629807472229,31,1000000.0,False
4,4,,,100,101,85,50.59893250465393,48,1000000.0,False
1,3,,,100,101,89,50.33839750289917,62,1000000.0,False
8,0,1.0,30.0,75,101,85,46.619038820266724,59,1000000.0,False
4,1,,,100,101,81,49.320499897003174,43,1000000.0,False
5,3,1.0,30.0,67,101,78,42.02788829803467,60,1000000.0,False
3,0,,,100,101,91,50.0806360244751,28,1000000.0,False
5,4,,,100,101,76,52.53781819343567,73,1000000.0,False
2,3,1.0,30.0,60,101,91,41.58351278305054,24,1000000.0,False
5,4,1.0,30.0,65,101,74,42.55447506904602,63,1000000.0,False
4,3,,,100,101,82,51.1729519367218,37,1000000.0,False
0,3,,,100,101,72,46.85408878326416,55,1000000.0,False
10,3,1.0,30.0,85,101,63,50.32234001159668,93,1000000.0,False
2,0,1.0,30.0,84,101,83,48.81961154937744,86,1000000.0,False
4,0,,,100,101,84,51.40515685081482,48,1000000.0,False
7,4,1.0,30.0,90,101,80,52.78666710853577,87,1000000.0,False
11,0,1.0,30.0,78,101,70,45.53425455093384,73,1000000.0,False
10,1,1.0,30.0,84,101,70,49.229034662246704,89,1000000.0,False
5,1,,,100,101,75,49.873759508132935,36,1000000.0,False
9,0,,,100,101,85,52.668057680130005,68,1000000.0,False
2,4,,,100,101,89,50.2495813369751,46,1000000.0,False
8,3,1.0,30.0,93,101,81,50.58170032501221,93,1000000.0,False
7,4,,,100,101,73,52.037822246551514,83,1000000.0,False
2,2,1.0,30.0,49,101,89,35.881306648254395,28,1000000.0,False
3,3,1.0,30.0,58,101,90,40.03165054321289,48,1000000.0,False
5,0,1.0,30.0,63,101,74,42.85584568977356,41,1000000.0,False
6,2,1.0,30.0,90,101,60,51.15696954727173,95,1000000.0,False
11,3,,,100,101,77,52.99072337150574,59,1000000.0,False
11,3,1.0,30.0,64,101,66,43.14656901359558,66,1000000.0,False
2,0,,,100,101,91,48.769225120544434,28,1000000.0,False
6,2,,,100,101,64,52.60958290100098,89,1000000.0,False
4,2,1.0,30.0,64,101,82,42.11574864387512,46,1000000.0,False
8,1,1.0,30.0,83,101,83,47.57695293426514,69,1000000.0,False
9,4,,,100,101,83,54.42725729942322,67,1000000.0,False
9,2,1.0,30.0,89,101,81,49.44034481048584,73,1000000.0,False
0,1,1.0,30.0,61,101,70,35.948949337005615,61,1000000.0,False
6,0,1.0,30.0,90,101,68,51.396121978759766,96,1000000.0,False
0,2,1.0,30.0,71,101,78,41.56747078895569,53,1000000.0,False
8,2,1.0,30.0,93,101,80,51.72075390815735,89,1000000.0,False
3,4,1.0,30.0,48,101,91,36.38856363296509,31,1000000.0,False
9,4,1.0,30.0,91,101,77,51.08384108543396,86,1000000.0,False
6,4,1.0,30.0,87,101,67,49.72704553604126,84,1000000.0,False
5,2,1.0,30.0,78,101,74,47.16972017288208,71,1000000.0,False
6,1,1.0,30.0,78,101,69,45.4540696144104,73,1000000.0,False
2,3,,,100,101,89,50.34748411178589,28,1000000.0,False
6,4,,,100,101,68,52.51624941825867,90,1000000.0,False
7,2,1.0,30.0,85,101,68,50.339547872543335,80,1000000.0,False
3,0,1.0,30.0,58,101,89,38.96419286727905,37,1000000.0,False
6,1,,,100,101,66,52.68983173370361,85,1000000.0,False
1,1,,,100,101,77,52.13626527786255,46,1000000.0,False
0,1,,,100,101,83,46.598371744155884,37,1000000.0,False
3,3,,,100,101,90,50.14267301559448,26,1000000.0,False
1,1,1.0,30.0,67,101,87,41.12191963195801,43,1000000.0,False
0,4,1.0,30.0,62,101,74,37.01447892189026,31,1000000.0,False
8,3,,,100,101,67,52.841787576675415,96,1000000.0,False
7,0,,,100,101,85,50.40596413612366,51,1000000.0,False
4,0,1.0,30.0,68,101,82,44.07478928565979,44,1000000.0,False
11,0,,,100,101,69,51.68281674385071,80,1000000.0,False
1,3,1.0,30.0,70,101,79,50.221521615982056,47,1000000.0,False
2,1,,,100,101,88,49.99419379234314,46,1000000.0,False
10,2,,,100,101,63,52.52273631095886,84,1000000.0,False
7,1,1.0,30.0,79,101,74,46.580336809158325,93,1000000.0,False
8,0,,,100,101,85,52.4838764667511,45,1000000.0,False
8,4,,,100,101,81,52.743531227111816,91,1000000.0,False
7,2,,,100,101,62,52.25483417510986,82,1000000.0,False
5,1,1.0,30.0,53,101,79,38.183871269226074,35,1000000.0,False
0,3,1.0,30.0,69,101,74,40.81816077232361,44,1000000.0,False
2,4,1.0,30.0,71,101,90,44.938965797424316,36,1000000.0,False
10,2,1.0,30.0,92,101,58,49.96603798866272,93,1000000.0,False
11,1,,,100,101,64,53.548070430755615,86,1000000.0,False
0,2,,,100,101,73,44.25585317611694,48,1000000.0,False
9,3,1.0,30.0,91,101,89,50.572564363479614,92,1000000.0,False
9,0,1.0,30.0,85,101,69,48.53084373474121,86,1000000.0,False
3,4,,,100,101,88,49.500818967819214,30,1000000.0,False
2,1,1.0,30.0,52,101,92,37.149446964263916,37,1000000.0,False
6,3,,,100,101,62,51.158594608306885,78,1000000.0,False
9,2,,,100,101,75,54.35964274406433,87,1000000.0,False
1,4,1.0,30.0,68,101,79,41.70028877258301,60,1000000.0,False
10,1,,,100,101,77,54.31143832206726,89,1000000.0,False
11,1,1.0,30.0,84,101,58,49.53971242904663,91,1000000.0,False
7,3,1.0,30.0,86,101,73,48.61835837364197,85,1000000.0,False
5,0,,,100,101,75,50.936100244522095,54,1000000.0,False
9,3,,,100,101,85,55.86712718009949,90,1000000.0,False
6,3,1.0,30.0,57,101,71,38.80550789833069,58,1000000.0,False
11,4,1.0,30.0,93,101,48,52.47750425338745,92,1000000.0,False
3,2,1.0,30.0,69,101,90,42.07999801635742,32,1000000.0,False
3,1,,,100,101,90,50.09960651397705,32,1000000.0,False
10,0,1.0,30.0,70,101,71,43.276978492736816,71,1000000.0,False
