target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,ii_timesteps,ii_threshold,unfinished
10,0,,,100,101,80,49.41788411140442,91,1000000.0,False
1,4,,,100,101,84,48.00028586387634,28,1000000.0,False
1,0,,,100,101,76,46.79465675354004,51,1000000.0,False
8,2,,,100,101,84,48.64340281486511,82,1000000.0,False
4,2,,,100,101,78,49.45955777168274,33,1000000.0,False
7,1,,,100,101,77,49.70030927658081,82,1000000.0,False
11,2,,,100,101,72,49.29288029670715,83,1000000.0,False
3,2,,,100,101,90,48.83083891868591,22,1000000.0,False
5,2,,,100,101,78,48.63255500793457,87,1000000.0,False
10,3,,,100,101,72,47.40642595291138,90,1000000.0,False
1,2,,,100,101,80,47.7217378616333,49,1000000.0,False
0,0,,,100,101,83,45.74892497062683,63,1000000.0,False
6,0,,,100,101,52,51.35356378555298,95,1000000.0,False
9,1,,,100,101,86,48.24307298660278,67,1000000.0,False
7,3,,,100,101,70,48.52434206008911,65,1000000.0,False
0,4,,,100,101,71,46.08731126785278,42,1000000.0,False
11,4,,,100,101,66,49.855225801467896,81,1000000.0,False
5,3,,,100,101,73,48.73088574409485,56,1000000.0,False
10,4,,,100,101,72,49.88638424873352,92,1000000.0,False
8,1,,,100,101,78,49.24144768714905,84,1000000.0,False
2,2,,,100,101,89,48.626949310302734,42,1000000.0,False
4,4,,,100,101,87,48.232643365859985,32,1000000.0,False
1,3,,,100,101,86,46.43258285522461,44,1000000.0,False
4,1,,,100,101,84,51.932249784469604,43,1000000.0,False
3,0,,,100,101,89,48.42921853065491,32,1000000.0,False
5,4,,,100,101,75,48.816797971725464,61,1000000.0,False
4,3,,,100,101,87,48.570539712905884,31,1000000.0,False
0,3,,,100,101,77,44.751749992370605,50,1000000.0,False
4,0,,,100,101,77,47.26910972595215,52,1000000.0,False
5,1,,,100,101,81,47.588144302368164,32,1000000.0,False
9,0,,,100,101,86,50.88975644111633,92,1000000.0,False
2,4,,,100,101,89,48.32450222969055,32,1000000.0,False
7,4,,,100,101,64,47.56364059448242,92,1000000.0,False
11,3,,,100,101,78,46.7059166431427,31,1000000.0,False
2,0,,,100,101,91,49.54035043716431,87,1000000.0,False
6,2,,,100,101,75,48.87781643867493,73,1000000.0,False
9,4,,,100,101,85,48.20470142364502,73,1000000.0,False
2,3,,,100,101,90,46.886019468307495,29,1000000.0,False
6,4,,,100,101,68,47.987502336502075,84,1000000.0,False
6,1,,,100,101,67,50.25328493118286,85,1000000.0,False
1,1,,,100,101,78,47.484641790390015,56,1000000.0,False
0,1,,,100,101,71,45.56454110145569,76,1000000.0,False
3,3,,,100,101,89,50.13959980010986,57,1000000.0,False
8,3,,,100,101,81,49.98180413246155,95,1000000.0,False
7,0,,,100,101,67,49.410908460617065,91,1000000.0,False
11,0,,,100,101,68,49.113438844680786,74,1000000.0,False
2,1,,,100,101,83,49.97085881233215,43,1000000.0,False
10,2,,,100,101,78,49.376588582992554,88,1000000.0,False
8,0,,,100,101,76,50.039812088012695,93,1000000.0,False
8,4,,,100,101,78,49.61663317680359,77,1000000.0,False
7,2,,,100,101,83,47.993622064590454,71,1000000.0,False
11,1,,,100,101,77,47.314372539520264,71,1000000.0,False
0,2,,,100,101,74,46.165717363357544,70,1000000.0,False
3,4,,,100,101,90,48.892334938049316,31,1000000.0,False
6,3,,,100,101,63,49.45223379135132,87,1000000.0,False
9,2,,,100,101,85,49.8342969417572,82,1000000.0,False
10,1,,,100,101,61,48.089839458465576,88,1000000.0,False
5,0,,,100,101,75,49.22850227355957,69,1000000.0,False
9,3,,,100,101,77,50.64796042442322,84,1000000.0,False
3,1,,,100,101,91,48.970458984375,48,1000000.0,False
